name,url,min_bounty,max_bounty
Ibotta,https://bugcrowd.com/ibotta,100.0,5000.0
Step Public Applications,https://bugcrowd.com/step-public,,
Registrar.gov: Bug Bounty Program,https://bugcrowd.com/registrar-dotgov,,
Verisign,https://bugcrowd.com/verisign,,
Indeed,https://bugcrowd.com/indeed,679.0,679.0
LifterLMS,https://bugcrowd.com/lifterlms,,
Telstra VDP,https://bugcrowd.com/telstra-vdp,,
ThousandEyes Bug Bounty,https://bugcrowd.com/thousandeyes-og,,
Professional Counselling Provider,https://bugcrowd.com/programs/teasers/dKZe19MnPivPJUoEgw3f5f4S,500.0,20000.0
Leading Financial company needs your help!,https://bugcrowd.com/programs/teasers/red-moon-8769,300.0,10000.0
An electronics retailer would like your help!,https://bugcrowd.com/programs/teasers/eQTUitf7a1btxJGEXtAWMtYd,150.0,2500.0
Rarible,https://bugcrowd.com/rarible-ogmbb,,
Blackbaud Vulnerability Disclosure Program,https://bugcrowd.com/blackbaud-vdp,,
NiceHash,https://bugcrowd.com/nicehash-og,,
StackPath,https://bugcrowd.com/stackpath,,
HostGator VDP,https://bugcrowd.com/hostgator-vdp,,
Seagate VDP,https://bugcrowd.com/seagate-vdp,,
Dfinity Vulnerability Disclosure Program,https://bugcrowd.com/dfinity-vdppro,,
CyberGhost,https://bugcrowd.com/cyberghost,,
Private Internet Access,https://bugcrowd.com/privateinternetaccess,,
Lucid Motors Vulnerability Disclosure Program,https://bugcrowd.com/lucidmotors-vdp,,
You Need a Budget (YNAB),https://bugcrowd.com/ynab,,
Lightspeed Retail (X-Series),https://bugcrowd.com/x-series,,
GoPro Awards Webapp Public Program,https://bugcrowd.com/gopro-og-public,,
